Profil,Disponibilité,Lieu_de_recherche,Points_forts,Compétence,Expérience,Contrat,Metier_regroupe,Experience_mois,Departement,candidat_id
En recherche d'un poste dans les domaines Data Analyste / Business Analyst / Coordinateur ADV,immédiate,33 - BORDEAUX,Utiliser les outils numériques Adapter les outils de traitement statistique de données Big data Analytics data visualisation Anglais,Développer un portefeuille clients et prospects Élaborer une stratégie commerciale Établir un devis Mettre en oeuvre des actions commerciales et promotionnelles Réaliser une veille de marché une veille concurrentielle Suivre une audience Web,Databird data analyse Bootcamp 5 Ans,CDD-alternance,Data Analyst,60.0,33,173
Data science engineer,immédiate,76 - ROUEN,Data engineer Business Intelligence BI Informatique décisionnelle Intégrer des outils IAData Science,Algorithmique Big data Analytics Avancé Business Intelligence BI Informatique décisionnelle Avancé Exploration de données data mining Avancé Intelligence artificielle Maîtrise d’un outil de gestion de flux Kafka Flink… Python Système dexploitation Linux Technologies HADOOP Technologies SPARK Framework,data science engineer intern carbon insight vienna 2 Ans,CDI,Autre,24.0,76,174
Ingénieure Data Scientist,immédiate,69 - LYON,Apprentissage automatique machine learning Big data Analytics Modélisation statistique Python SQL,Analyse statistique Apprentissage automatique machine learning Big data Analytics Gestion de version GIT Avancé Java Modélisation et simulation Modélisation statistique Python Avancé Système de Gestion de Bases de Données SGBD,Ingénieur mathématiques spécialisation data science INSA Rouen Bac5 et plus ou équivalents 5 Ans,CDD-alternance,Data Scientist,60.0,69,175
Jeune ingénieur diplômé en Sciences Numériques| Passionné par l'IA et l'Analyse de Données,immédiate,13 - MARSEILLE,Big data Analytics Faire preuve dautonomie Faire preuve de créativité dinventivité Apprentissage automatique machine learning Modélisation mathématique,Analyse statistique Apprentissage automatique machine learning Avancé Big data Analytics Business Intelligence BI Informatique décisionnelle CC Docker Intermédiaire Gestion de version GIT Avancé GitLab Avancé Java Intermédiaire JIRA Intermédiaire Maîtrise d’un outil de gestion de flux Kafka Flink… Intermédiaire Microsoft Exchange Server Intermédiaire Modélisation et simulation Modélisation statistique Python Avancé Scala Intermédiaire SharePoint Intermédiaire SQL Avancé Technologies HADOOP Avancé Technologies SPARK Framework Avancé,École Nationale Supérieure dÉlectricité et de Mécanique Bac5 et plus ou équivalents 1 Ans,CDD-alternance,Autre,12.0,13,176
Docteur Informatique,immédiate,38 - GRENOBLE,Sadapter aux changements Exploration de données data mining Langages de programmation informatique Réaliser une étude Rédiger de linformation,Algorithmique Analyse statistique Big data Analytics Exploration de données data mining Ingénierie des architectures distribuées Langages de programmation informatique Logiciel de statistiques Logiciels de gestion de base de données Séries temporelles Statistiques Suite bureautique LibreOffice Systèmes dexploitation informatique,Chercheur postdoctoral Université Paris Cité CEA Commissariat à lénergie atomique et aux énergies alternatives Paris 4 Ans,CDD,Autre,48.0,38,177
Ingénieure d'État en Statistiques et Économie Appliquée,immédiate,75 - PARIS 01,Exploiter des solutions de Data Science ou dIntelligence Artificielle Modélisation statistique Anglais,Analyse statistique Apprentissage automatique machine learning Big data Analytics Modélisation et simulation Modélisation statistique Python,M2 Big data Analyse et Business Intelligence Bac5 et plus ou équivalents 3 Ans,CDD-alternance,Autre,36.0,75,178
Étudiant en Ingénierie Logiciel | Développeur Passionné par l'Innovation et les Solutions Numériques,immédiate,28 - CHARTRES,Application web Architecture web Programmation logicielle Python Intégrer des outils IAData Science,Analyser exploiter structurer des données Intermédiaire Assembler des composants logiciels Avancé Coder Avancé Concevoir larchitecture dun système dun réseau Intermédiaire Concevoir la cartographie fonctionnelle du SI Intermédiaire Concevoir une application web Avancé Créer une documentation technique Avancé Développer une application en lien avec une base de données Avancé Développer un logiciel un système dinformations une application Avancé Gérer et déployer des logiciels à distance Avancé Intégrer des outils IAData Science Intermédiaire Mettre en place une blockchain protocoles consensus etc Débutant Paramétrer un logiciel un outil un système numérique Avancé Piloter des évolutions ou des paramétrages à apporter aux composants Débutant Réaliser des études dorganisation et dévolution de systèmes dinformation Débutant Réaliser des études et développements informatiques Intermédiaire Réaliser la mise en production de solutions logicielles dans un environnement dexploitation Intermédiaire Sélectionner assembler et intégrer des composants informatiques progiciels bases de données développements spécifiques Intermédiaire Tester un logiciel un système dinformations une application Intermédiaire Vérifier la compatibilité des développements produits avec les spécifications Intermédiaire,Licence Dévelopement Logiciel à l’ESIEA Bac3 Bac4 ou équivalents 5 Ans,Intérim,Développeur,60.0,28,179
Ingénieur industriel,immédiate,17 - LA ROCHELLE,Data engineer Anglais Arabe Français B Véhicule léger,Business Intelligence BI Informatique décisionnelle Gestion des flux de production Google Analytics Ingénierie mécanique Management de la chaîne logistique Supply chain management Progiciel de gestion Sage 100 Progiciel de gestion SAP BW Python Sciences et techniques de lingénieur SharePoint SQL Suite bureautique LibreOffice,Management de la transition industrielle Bac5 et plus ou équivalents 4 Ans,Intérim,Autre,48.0,17,180
Développeur Python,immédiate,14 - CAEN,Exploration de données data mining Concevoir réaliser et mettre en place une procédure dautomatisation Python,Analyse statistique Intermédiaire Exploration de données data mining Intermédiaire Python Avancé SQL Intermédiaire Visual Basic for Applications VBA Avancé,Expert en Systèmes d’Informations Bac5 et plus ou équivalents 2 Ans,Intérim,Développeur,24.0,14,181
À la recherche de mon premier emploi dans l'analyse de données,immédiate,29 - BREST,Analyser exploiter structurer des données Big data Analytics Business Intelligence BI Informatique décisionnelle Mettre en place des outils daide à la décision Modélisation statistique,Big data Analytics Business Intelligence BI Informatique décisionnelle Conception et analyse denquête Langages de programmation informatique Modélisation et simulation Modélisation statistique,Diplôme dingénieur en Informatique et CyberSécurité Bac5 et plus ou équivalents 3 Ans,CDD-alternance,Autre,36.0,29,182
technicien supérieur en informatique et ingénierie des données,immédiate,34 - MONTPELLIER,Algorithmique Analyser exploiter structurer des données Apprentissage automatique machine learning Gérer et maitriser des bases de données SQLNoSQL Intégrer des outils IAData Science,Ada Algorithmique Analyse statistique Anglais technique Apache Application web Apprentissage automatique machine learning Architecture web Big data Analytics Business Intelligence BI Informatique décisionnelle CC Cloud computing Comptabilité générale Cryptologie CSS Génie logiciel Gestion budgétaire Gestion de version GIT HTML Informatique scientifique et technique Intelligence artificielle J2EE Java Javascript Langages de programmation informatique Logiciel de statistiques Logiciels de gestion de base de données Modélisation statistique MySQL Oracle PLSQL Prolog Python Reactjs Script Shell SQL Système dexploitation Linux Système dexploitation Unix Système dexploitation Windows Système de Gestion de Bases de Données SGBD Visual Basic XML,Stagiaire en Ingénierie des Données CNRS Laboratoire de Recherche en Sciences Végétales LRSV Plateforme Métatoul AuzevilleTolosane 31320 FranceCette Expérience contient une pièce jointe 1 Ans,CDI,Autre,12.0,34,183
Scientifique de données,immédiate,01 - BOURG-EN-BRESSE,Data engineer Apprentissage automatique machine learning MySQL Python Visualisation des données Power BI,Analyse statistique Intermédiaire Apprentissage automatique machine learning Avancé Business Intelligence BI Informatique décisionnelle Avancé Centres danalyse Cloud computing Débutant Docker Intermédiaire Gestion de version GIT Intermédiaire Maîtrise des méthodes de résolution de problèmes Avancé MySQL Avancé Progiciel de gestion SAS Statistiques Débutant Python Avancé,Data Manager Conception et mise en place de système de gestion de base Strasbourg 1 Ans,Intérim,Autre,12.0,01,184
"Ingénieur en Intelligence Artificielle, à la recherche d'un emploi dans l’univers de l’IA et de l'innovation",immédiate,50 - SAINT-LÔ,Prendre des initiatives et être force de proposition Créer et tester des algorithmes d’apprentissage automatique machine learning deep learning… Développer l’industrialisation de modèles statistiques ou de machine learning Exploiter des solutions de Data Science ou dIntelligence Artificielle Python,Apprentissage automatique machine learning Intermédiaire Business Intelligence BI Informatique décisionnelle Débutant Intelligence artificielle Intermédiaire JIRA Débutant Python Avancé SQL Intermédiaire,Ingénieur en intelligence artificielle TIPIFIT Brest 3 Ans,CDD-alternance,Autre,36.0,50,185
"Data Scientist, PO et PMO junior",immédiate,06 - NICE,,Apprentissage automatique machine learning CC Intelligence artificielle Modélisation et simulation Modélisation statistique Python Système de Gestion de Bases de Données SGBD,Mastère spécialisé Manager de portefeuille de projets Bac5 et plus ou équivalents 4 Ans,Intérim,Data Scientist,48.0,06,186
"Ingénieur en Énergie & Data Science, à la recherche d’un emploi.",immédiate,25 - BESANÇON,Concevoir et gérer un projet Élaborer des propositions techniques Identifier les contraintes dun projet Organiser son travail selon les priorités et les objectifs Déterminer des axes dévolution technologiques,Concevoir et gérer un projet Identifier les contraintes dun projet,valide Bac5 et plus ou équivalentsCette Formation contient une pièce jointe 4 Ans,CDD,Autre,48.0,25,187
